Event Objective,Objective Status,Topic,# of events this topic is in (from Topic),Discipline / Role (from Topic),Curriculum Event,23-24 Event,Course Name (from Curriculum Event) (from Topic),Event Date
Define the terms “gray and white matter” and differentiate between them. (EO-0280),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Define anatomical boundaries of each of the lobes of the cerebral cortex. (EO-0282),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Review the planes of orientation for the brain and brainstem. (EO-0281),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Identify the subdivisions of the brainstem. (EO-6560),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Define the terms “gray and white matter” and differentiate between them. (EO-0280),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Associate general functions with regions/gyri of the cerebral cortex. (EO-6558),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Identify major gyri associated with each lobe. (EO-6559),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Identify the subdivisions of the brainstem. (EO-6560),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
"Describe the skull-brain relationships and dural compartmentalization (anterior, middle, and posterior fossa). (EO-0283)",Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Differentiate between components of the central and peripheral nervous systems. (EO-0279),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Associate general functions with regions/gyri of the cerebral cortex. (EO-6558),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Define anatomical boundaries of each of the lobes of the cerebral cortex. (EO-0282),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Define the terms “gray and white matter” and differentiate between them. (EO-0280),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Identify major gyri associated with each lobe. (EO-6559),Active,Intro to Gross Brain Topography (TO-1374)-M1 BSci ALS (Louis Hawking),1,Neuroscience,,M1 BSci ALS (Louis Hawking),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-08 08:30
Associate general functions with regions/gyri of the cerebral cortex. (EO-6558),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Differentiate between components of the central and peripheral nervous systems. (EO-0279),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
"Describe the skull-brain relationships and dural compartmentalization (anterior, middle, and posterior fossa). (EO-0283)",Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Identify major gyri associated with each lobe. (EO-6559),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Define the terms “gray and white matter” and differentiate between them. (EO-0280),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Identify the subdivisions of the brainstem. (EO-6560),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Identify major gyri associated with each lobe. (EO-6559),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Review the planes of orientation for the brain and brainstem. (EO-0281),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Differentiate between components of the central and peripheral nervous systems. (EO-0279),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Differentiate between components of the central and peripheral nervous systems. (EO-0279),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Review the planes of orientation for the brain and brainstem. (EO-0281),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
"Describe the skull-brain relationships and dural compartmentalization (anterior, middle, and posterior fossa). (EO-0283)",Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Define the terms “gray and white matter” and differentiate between them. (EO-0280),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Identify the subdivisions of the brainstem. (EO-6560),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Identify the subdivisions of the brainstem. (EO-6560),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Associate general functions with regions/gyri of the cerebral cortex. (EO-6558),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Define anatomical boundaries of each of the lobes of the cerebral cortex. (EO-0282),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Define anatomical boundaries of each of the lobes of the cerebral cortex. (EO-0282),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Review the planes of orientation for the brain and brainstem. (EO-0281),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
"Describe the skull-brain relationships and dural compartmentalization (anterior, middle, and posterior fossa). (EO-0283)",Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Identify major gyri associated with each lobe. (EO-6559),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Define the terms “gray and white matter” and differentiate between them. (EO-0280),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Define anatomical boundaries of each of the lobes of the cerebral cortex. (EO-0282),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Associate general functions with regions/gyri of the cerebral cortex. (EO-6558),Active,Intro to Gross Brain Topography (TO-1374)-M2 BSci Brain Cancer (Scott Smith),1,Neuroscience,,M2 BSci Brain Cancer (Scott Smith),M2-04 Introduction to Oncology (RMD-577),2024-01-23 08:30
Describe the general mechanisms and regulatory processes that control hematopoiesis (EO-1314),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
Describe the concept of cell lineages and colony forming units. (EO-1315),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
Describe the role of the hematopoietic microenvironment. (EO-1317),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
List the normal sites of hematopoiesis in the fetus and adult. (EO-1313),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
Describe the concept of cell lineages and colony forming units. (EO-1315),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
Describe the role of the hematopoietic microenvironment. (EO-1317),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
Describe the role of growth factors in hematopoiesis. (EO-1316),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
Describe the role of growth factors in hematopoiesis. (EO-1316),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
List the normal sites of hematopoiesis in the fetus and adult. (EO-1313),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
Describe the general mechanisms and regulatory processes that control hematopoiesis (EO-1314),Active,Intro to Hematopoiesis (TO-0281) in M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),1,Histology,,M2 BSci Thrombocytopenia Team Building Circles (Morrison Family),M2-03 Introduction to Hematology (RMD-576),2023-11-14 08:30
Describe the role of growth factors in hematopoiesis. (EO-1316),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
Describe the general mechanisms and regulatory processes that control hematopoiesis (EO-1314),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
List the normal sites of hematopoiesis in the fetus and adult. (EO-1313),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
Describe the general mechanisms and regulatory processes that control hematopoiesis (EO-1314),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
Describe the role of growth factors in hematopoiesis. (EO-1316),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
Describe the concept of cell lineages and colony forming units. (EO-1315),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
Describe the concept of cell lineages and colony forming units. (EO-1315),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
Describe the role of the hematopoietic microenvironment. (EO-1317),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
List the normal sites of hematopoiesis in the fetus and adult. (EO-1313),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
Describe the role of the hematopoietic microenvironment. (EO-1317),Active,Intro to Hematopoiesis (TO-0281) in M2 HISTO Histology Lab: Hematopoiesis,1,Histology,,M2 HISTO Histology Lab: Hematopoiesis,M2-03 Introduction to Hematology (RMD-576),2023-11-20 08:00
Describe the basic concepts of immunodeficiencies (EO-9146),Active,Intro to Immunodeficiencies (TO-7003),1,Immunology,M1 BSci Multiple Vignettes RMD-561,M1 BSci Hypersensitivity Vignettes (Multiple Vignettes),M1-02 Host Defense & Host Response (RMD-561),2023-10-09 13:00
Differentiate between primary & secondary immunodeficiencies.  (EO-9147),Active,Intro to Immunodeficiencies (TO-7003),1,Immunology,M1 BSci Multiple Vignettes RMD-561,M1 BSci Hypersensitivity Vignettes (Multiple Vignettes),M1-02 Host Defense & Host Response (RMD-561),2023-10-09 13:00
List the major regulatory processes of metabolism. (EO-0474),Active,Intro to Intermediary Metabolism (TO-0082),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Review the ability of different cells to generate energy in relation to the presence of mitochondria and oxygen. (EO-8633),Active,Intro to Intermediary Metabolism (TO-0082),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Review the definition of intermediary metabolism and describe the features of catabolism and anabolism aerobic and anaerobic cells. (EO-8632),Active,Intro to Intermediary Metabolism (TO-0082),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
"Describe the processing of food from digestion to utilization in energy production, storage and metabolic processes. (EO-0472)",Active,Intro to Intermediary Metabolism (TO-0082),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
"List the metabolic pathways for carbohydrates, lipids and amino acids. (EO-0473)",Active,Intro to Intermediary Metabolism (TO-0082),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
List the components of Basic Metabolic Panel(EO-7624),Active,Intro to Laboratory Testing (TO-6707),1,Practitioner,,M1 PRAC Intro to Clinical Reasoning-Groups (Part 1),M1-01 Foundation of Medical Practice (RMD-560),2023-08-31 10:00
List and describe common diagnostic tests.(EO-7840),Active,Intro to Laboratory Testing (TO-6707),1,Practitioner,,M1 PRAC Intro to Clinical Reasoning-Groups (Part 1),M1-01 Foundation of Medical Practice (RMD-560),2023-08-31 10:00
Utilize the shorthand for documentation of a Basic/Complete Metabolic Panel (EO-7625),Active,Intro to Laboratory Testing (TO-6707),1,Practitioner,,M1 PRAC Intro to Clinical Reasoning-Groups (Part 1),M1-01 Foundation of Medical Practice (RMD-560),2023-08-31 10:00
"Describe the phenomenology of the following movement disorders: parkinson's, chorea, tics myoclonus and tremor. (EO-3007)",Active,Intro to Movement Disorders (TO-0611),1,Pathology,M1 BSci Henry Randall,M1 BSci Parkinsons Disease (Henry Randall),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-07 13:00
"List the most common etiology of the following movement disorders: parkinson's, chorea, tics myoclonus and tremor. (EO-3009)",Active,Intro to Movement Disorders (TO-0611),1,Pathology,M1 BSci Henry Randall,M1 BSci Parkinsons Disease (Henry Randall),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-07 13:00
"Identify the abnormal movement by visual inspection of the following: parkinsonism, chorea ics, myoclonus and tremor. (EO-3008)",Active,Intro to Movement Disorders (TO-0611),1,Pathology,M1 BSci Henry Randall,M1 BSci Parkinsons Disease (Henry Randall),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-07 13:00
Discuss the diagnostic evaluation of dementia and possible reversible causes that can be treated. (EO-3212),Active,Intro to Neurocognitive Disorders (Dementia) (TO-6958),1,Psychiatry,M2 BSci Arlene Little,M2 BSci Dementia and Delirium (Arlene Little),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-06 08:30
Differentiate normal aging versus dementia. (EO-3213),Active,Intro to Neurocognitive Disorders (Dementia) (TO-6958),1,Psychiatry,M2 BSci Arlene Little,M2 BSci Dementia and Delirium (Arlene Little),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-06 08:30
Identify the cognitive domains that are impacted in the Diagnosis of Major Neurocognitive Disorder and Mild Neurocognitive Disorder. (EO-3210),Active,Intro to Neurocognitive Disorders (Dementia) (TO-6958),1,Psychiatry,M2 BSci Arlene Little,M2 BSci Dementia and Delirium (Arlene Little),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-06 08:30
You do not need to know doses; routes of administration; or how to treat the toxicities. (EO-3420),Active,Intro To Oncology Drug Therapy: Chemotherapy Agents (TO-1290),1,Pharmacology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Review the difference between oncogenes and tumor-suppressor genes; relate therapeutic approaches for future drug classes. (EO-3417),Active,Intro To Oncology Drug Therapy: Chemotherapy Agents (TO-1290),1,Pharmacology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Explain the significance of P-glycoprotein on pharmacodynamics. (EO-3416),Active,Intro To Oncology Drug Therapy: Chemotherapy Agents (TO-1290),1,Pharmacology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Describe the mechanism of action of targeted agents discussed in lecture. (EO-3414),Active,Intro To Oncology Drug Therapy: Chemotherapy Agents (TO-1290),1,Pharmacology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
"Define the term ""genomic instability"" with regards to mutations and risk factors. (EO-3419)",Active,Intro To Oncology Drug Therapy: Chemotherapy Agents (TO-1290),1,Pharmacology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Recognize that palliative and hospice care are on a continuum of care provided for patients with serious illness. (EO-5726),Active,Intro to Palliative Care (TO-0956),1,Practitioner,M2 PRAC/PROF Intro to Palliative Care,M2 PRAC/PROF Intro to Palliative Care,M2-04 Introduction to Oncology (RMD-577),2024-01-22 10:00
Define palliative care. (EO-5725),Active,Intro to Palliative Care (TO-0956),1,Practitioner,M2 PRAC/PROF Intro to Palliative Care,M2 PRAC/PROF Intro to Palliative Care,M2-04 Introduction to Oncology (RMD-577),2024-01-22 10:00
Identify hospice eligibility requirements and describe hospice services. (EO-5728),Active,Intro to Palliative Care (TO-0956),1,Practitioner,M2 PRAC/PROF Intro to Palliative Care,M2 PRAC/PROF Intro to Palliative Care,M2-04 Introduction to Oncology (RMD-577),2024-01-22 10:00
Describe the six steps of the SPIKES protocol for delivering bad news. (EO-5727),Active,Intro to Palliative Care (TO-0956),1,Practitioner,M2 PRAC/PROF Intro to Palliative Care,M2 PRAC/PROF Intro to Palliative Care,M2-04 Introduction to Oncology (RMD-577),2024-01-22 10:00
Describe the functions of blood. (EO-1308),Active,Intro to Peripheral Blood (TO-0280),1,Histology,M1 HISTO Histology Lab: Peripheral Blood,M1 HISTO Histology Lab: Peripheral Blood,M1-02 Host Defense & Host Response (RMD-561),2023-09-06 08:00
State the normal ranges (percentages) for various white blood cells in peripheral blood. (EO-1310),Active,Intro to Peripheral Blood (TO-0280),1,Histology,M1 HISTO Histology Lab: Peripheral Blood,M1 HISTO Histology Lab: Peripheral Blood,M1-02 Host Defense & Host Response (RMD-561),2023-09-06 08:00
List the formed elements of peripheral blood and identify them in histological preparations. (EO-1309),Active,Intro to Peripheral Blood (TO-0280),1,Histology,M1 HISTO Histology Lab: Peripheral Blood,M1 HISTO Histology Lab: Peripheral Blood,M1-02 Host Defense & Host Response (RMD-561),2023-09-06 08:00
Identify the specific functions of the formed elements of the blood. (EO-1311),Active,Intro to Peripheral Blood (TO-0280),1,Histology,M1 HISTO Histology Lab: Peripheral Blood,M1 HISTO Histology Lab: Peripheral Blood,M1-02 Host Defense & Host Response (RMD-561),2023-09-06 08:00
"Identify the following cells in peripheral blood smears: erythrocyte, neutrophil, basophil, eosinophil, lymphocyte, monocyte, platelet. (EO-1312)",Active,Intro to Peripheral Blood (TO-0280),1,Histology,M1 HISTO Histology Lab: Peripheral Blood,M1 HISTO Histology Lab: Peripheral Blood,M1-02 Host Defense & Host Response (RMD-561),2023-09-06 08:00
"Explain the concept of loading doses and the ""plateau"" principle. (EO-3319)",Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
Differentiate between first-order kinetics and zero-order kinetics and explain the relevance of both. (EO-3318),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
Identify the relationship between extraction ratio and the impact of changes in blood supply to the kidney on renal clearance and total clearance. (EO-3315),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
Model elimination of a drug using extraction ratio (E). (EO-3310),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
Determine total clearance from clearance of individual organs. (EO-3314),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
Describe the mechanisms and locations of drug excretion in the body. (EO-3308),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
Define the parameter of drug clearance and relate it to extraction ratio (E). (EO-3311),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
"Recognize the contributions of protein binding, glomerular filtration rate (GFR), active secretion, and reabsorption of drug to renal clearance. (EO-3312)",Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
"Explain the concept of ""therapeutic range"" and its clinical limitations, as well as Narrow therapeutic Index. (EO-3321)",Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
